userid,courseid,quizid,attemptid,raw_timefinish,local_timefinish
851,45,12,99,1752226183,2025-07-11 16:29:43
851,45,13,103,1752408149,2025-07-13 19:02:29
852,45,11,94,1752070401,2025-07-09 21:13:21
852,45,12,92,1752069528,2025-07-09 20:58:48
852,45,13,93,1752070019,2025-07-09 21:06:59
853,45,11,,,
853,45,12,,,
853,45,13,,,
854,45,11,,,
854,45,12,,,
854,45,13,,,
855,45,11,,,
855,45,12,,,
855,45,13,,,
856,45,11,71,1751626371,2025-07-04 17:52:51
856,45,12,52,1751557681,2025-07-03 22:48:01
856,45,13,70,1751617829,2025-07-04 15:30:29
857,45,11,100,1752250685,2025-07-11 23:18:05
857,45,11,101,1752250720,2025-07-11 23:18:40
857,45,12,73,1751645653,2025-07-04 23:14:13
857,45,13,90,1751991076,2025-07-08 23:11:16
857,45,13,91,1751991109,2025-07-08 23:11:49
858,45,11,76,1751792573,2025-07-06 16:02:53
858,45,12,72,1751641955,2025-07-04 22:12:35
858,45,13,75,1751772882,2025-07-06 10:34:42
860,45,11,114,1752579138,2025-07-15 18:32:18
860,45,12,68,1751615271,2025-07-04 14:47:51
860,45,13,69,1751615307,2025-07-04 14:48:27
860,45,13,122,1752578537,2025-07-15 18:22:17
861,45,11,32,1751482613,2025-07-03 01:56:53
861,45,12,30,1751471067,2025-07-02 22:44:27
861,45,13,31,1751476974,2025-07-03 00:22:54
862,45,11,123,1752595321,2025-07-15 23:02:01
862,45,11,124,1752595519,2025-07-15 23:05:19
862,45,12,95,1752156494,2025-07-10 21:08:14
862,45,12,96,1752157152,2025-07-10 21:19:12
862,45,13,113,1752506981,2025-07-14 22:29:41
863,45,11,,,
863,45,12,,,
863,45,13,,,
864,45,11,36,1751513477,2025-07-03 10:31:17
864,45,12,34,1751512951,2025-07-03 10:22:31
864,45,13,35,1751513345,2025-07-03 10:29:05
865,45,11,,,
865,45,12,,,
865,45,13,,,
866,45,11,,,
866,45,12,63,1752598740,2025-07-15 23:59:00
866,45,13,,,
867,45,11,47,1751554417,2025-07-03 21:53:37
867,45,12,44,1751553945,2025-07-03 21:45:45
867,45,12,45,1751554139,2025-07-03 21:48:59
867,45,13,46,1751554284,2025-07-03 21:51:24
868,45,11,49,1751554878,2025-07-03 22:01:18
868,45,12,43,1751554512,2025-07-03 21:55:12
868,45,13,48,1751554752,2025-07-03 21:59:12
62,47,14,,,
62,47,15,,,
62,47,16,,,
62,47,17,,,
62,47,18,,,
62,47,19,,,
62,47,20,,,
62,47,21,,,
62,47,22,,,
62,47,23,,,
62,47,24,,,
62,47,25,,,
62,47,29,,,
68,47,14,,,
68,47,15,,,
68,47,16,,,
68,47,17,,,
68,47,18,,,
68,47,19,,,
68,47,20,,,
68,47,21,,,
68,47,22,,,
68,47,23,,,
68,47,24,,,
68,47,25,,,
68,47,29,,,
942,47,14,,,
942,47,15,,,
942,47,16,,,
942,47,17,,,
942,47,18,,,
942,47,19,,,
942,47,20,,,
942,47,21,,,
942,47,22,,,
942,47,23,,,
942,47,24,,,
942,47,25,,,
942,47,29,,,
1112,47,14,,,
1112,47,15,,,
1112,47,16,,,
1112,47,17,,,
1112,47,18,,,
1112,47,19,,,
1112,47,20,,,
1112,47,21,,,
1112,47,22,,,
1112,47,23,,,
1112,47,24,,,
1112,47,25,,,
1112,47,29,,,
1113,47,14,,,
1113,47,15,,,
1113,47,16,,,
1113,47,17,,,
1113,47,18,,,
1113,47,19,,,
1113,47,20,,,
1113,47,21,,,
1113,47,22,,,
1113,47,23,,,
1113,47,24,,,
1113,47,25,,,
1113,47,29,,,
1114,47,14,,,
1114,47,15,,,
1114,47,16,,,
1114,47,17,,,
1114,47,18,,,
1114,47,19,,,
1114,47,20,,,
1114,47,21,,,
1114,47,22,,,
1114,47,23,,,
1114,47,24,,,
1114,47,25,,,
1114,47,29,,,
1115,47,14,,,
1115,47,15,,,
1115,47,16,,,
1115,47,17,,,
1115,47,18,,,
1115,47,19,,,
1115,47,20,,,
1115,47,21,,,
1115,47,22,,,
1115,47,23,,,
1115,47,24,,,
1115,47,25,,,
1115,47,29,,,
1116,47,14,,,
1116,47,15,,,
1116,47,16,,,
1116,47,17,,,
1116,47,18,,,
1116,47,19,,,
1116,47,20,,,
1116,47,21,,,
1116,47,22,,,
1116,47,23,,,
1116,47,24,,,
1116,47,25,,,
1116,47,29,,,
1117,47,14,,,
1117,47,15,,,
1117,47,16,,,
1117,47,17,,,
1117,47,18,,,
1117,47,19,,,
1117,47,20,,,
1117,47,21,,,
1117,47,22,,,
1117,47,23,,,
1117,47,24,,,
1117,47,25,,,
1117,47,29,,,
1118,47,14,,,
1118,47,15,406,1758104721,2025-09-17 17:25:21
1118,47,15,407,1758104917,2025-09-17 17:28:37
1118,47,16,,,
1118,47,17,,,
1118,47,18,291,1757334943,2025-09-08 19:35:43
1118,47,19,,,
1118,47,20,,,
1118,47,21,205,1756226342,2025-08-26 23:39:02
1118,47,21,206,1756226559,2025-08-26 23:42:39
1118,47,22,207,1756227061,2025-08-26 23:51:01
1118,47,22,208,1756227138,2025-08-26 23:52:18
1118,47,23,343,1757921152,2025-09-15 14:25:52
1118,47,23,344,1757921375,2025-09-15 14:29:35
1118,47,24,347,1757921691,2025-09-15 14:34:51
1118,47,24,348,1757921752,2025-09-15 14:35:52
1118,47,25,,,
1118,47,29,,,
1119,47,14,,,
1119,47,15,,,
1119,47,16,,,
1119,47,17,,,
1119,47,18,,,
1119,47,19,210,1756283162,2025-08-27 15:26:02
1119,47,20,211,1756283607,2025-08-27 15:33:27
1119,47,20,212,1756283673,2025-08-27 15:34:33
1119,47,21,213,1756284113,2025-08-27 15:41:53
1119,47,22,,,
1119,47,23,,,
1119,47,24,,,
1119,47,25,,,
1119,47,29,,,
1120,47,14,,,
1120,47,15,,,
1120,47,16,,,
1120,47,17,,,
1120,47,18,,,
1120,47,19,,,
1120,47,20,,,
1120,47,21,,,
1120,47,22,,,
1120,47,23,,,
1120,47,24,,,
1120,47,25,,,
1120,47,29,,,
1121,47,14,242,1756649210,2025-08-31 21:06:50
1121,47,15,,,
1121,47,16,,,
1121,47,17,,,
1121,47,18,,,
1121,47,19,243,1756649456,2025-08-31 21:10:56
1121,47,20,245,1756649997,2025-08-31 21:19:57
1121,47,21,,,
1121,47,22,,,
1121,47,23,,,
1121,47,24,,,
1121,47,25,,,
1121,47,29,,,
1122,47,14,335,1757862548,2025-09-14 22:09:08
1122,47,15,,,
1122,47,16,,,
1122,47,17,,,
1122,47,18,337,1757864250,2025-09-14 22:37:30
1122,47,19,336,1757864076,2025-09-14 22:34:36
1122,47,20,338,1758498214,2025-09-22 06:43:34
1122,47,21,452,1758499463,2025-09-22 07:04:23
1122,47,22,453,1758499769,2025-09-22 07:09:29
1122,47,23,455,1758671879,2025-09-24 06:57:59
1122,47,24,456,1758672109,2025-09-24 07:01:49
1122,47,25,457,1758757989,2025-09-25 06:53:09
1122,47,29,,,
1123,47,14,,,
1123,47,15,,,
1123,47,16,,,
1123,47,17,,,
1123,47,18,,,
1123,47,19,,,
1123,47,20,,,
1123,47,21,,,
1123,47,22,,,
1123,47,23,,,
1123,47,24,,,
1123,47,25,,,
1123,47,29,,,
1124,47,14,,,
1124,47,15,,,
1124,47,16,,,
1124,47,17,,,
1124,47,18,,,
1124,47,19,,,
1124,47,20,,,
1124,47,21,,,
1124,47,22,,,
1124,47,23,,,
1124,47,24,,,
1124,47,25,,,
1124,47,29,,,
1125,47,14,,,
1125,47,15,,,
1125,47,16,,,
1125,47,17,,,
1125,47,18,,,
1125,47,19,,,
1125,47,20,,,
1125,47,21,,,
1125,47,22,,,
1125,47,23,,,
1125,47,24,,,
1125,47,25,,,
1125,47,29,,,
1126,47,14,270,1757044941,2025-09-05 11:02:21
1126,47,14,271,1757045043,2025-09-05 11:04:03
1126,47,14,272,1757045084,2025-09-05 11:04:44
1126,47,15,,,
1126,47,16,,,
1126,47,17,,,
1126,47,18,,,
1126,47,19,274,1757045393,2025-09-05 11:09:53
1126,47,19,275,1757045518,2025-09-05 11:11:58
1126,47,20,,,
1126,47,21,218,1756290095,2025-08-27 17:21:35
1126,47,22,219,1756292114,2025-08-27 17:55:14
1126,47,23,,,
1126,47,24,,,
1126,47,25,,,
1126,47,29,,,
1127,47,14,193,1756116210,2025-08-25 17:03:30
1127,47,15,,,
1127,47,16,,,
1127,47,17,,,
1127,47,18,,,
1127,47,19,196,1756128379,2025-08-25 20:26:19
1127,47,20,197,1756129154,2025-08-25 20:39:14
1127,47,21,,,
1127,47,22,,,
1127,47,23,,,
1127,47,24,,,
1127,47,25,,,
1127,47,29,,,
1128,47,14,,,
1128,47,15,,,
1128,47,16,,,
1128,47,17,,,
1128,47,18,332,1757645614,2025-09-12 09:53:34
1128,47,19,,,
1128,47,20,,,
1128,47,21,,,
1128,47,22,,,
1128,47,23,260,1756699816,2025-09-01 11:10:16
1128,47,23,261,1756700176,2025-09-01 11:16:16
1128,47,24,,,
1128,47,25,,,
1128,47,29,,,
1129,47,14,186,1756018513,2025-08-24 13:55:13
1129,47,14,187,1756018645,2025-08-24 13:57:25
1129,47,15,,,
1129,47,16,,,
1129,47,17,,,
1129,47,18,,,
1129,47,19,189,1756021542,2025-08-24 14:45:42
1129,47,20,188,1756020531,2025-08-24 14:28:51
1129,47,21,222,1756349431,2025-08-28 09:50:31
1129,47,22,221,1756348783,2025-08-28 09:39:43
1129,47,23,,,
1129,47,24,,,
1129,47,25,,,
1129,47,29,,,
1130,47,14,464,1758902254,2025-09-26 22:57:34
1130,47,15,471,1758956647,2025-09-27 14:04:07
1130,47,16,469,1758956194,2025-09-27 13:56:34
1130,47,17,470,1758956279,2025-09-27 13:57:59
1130,47,18,,,
1130,47,19,465,1758902547,2025-09-26 23:02:27
1130,47,20,466,1758902923,2025-09-26 23:08:43
1130,47,21,,,
1130,47,22,467,1758903184,2025-09-26 23:13:04
1130,47,23,,,
1130,47,24,,,
1130,47,25,,,
1130,47,29,,,
1131,47,14,,,
1131,47,15,,,
1131,47,16,,,
1131,47,17,,,
1131,47,18,,,
1131,47,19,,,
1131,47,20,,,
1131,47,21,,,
1131,47,22,,,
1131,47,23,,,
1131,47,24,,,
1131,47,25,,,
1131,47,29,,,
1132,47,14,,,
1132,47,15,,,
1132,47,16,,,
1132,47,17,,,
1132,47,18,,,
1132,47,19,,,
1132,47,20,,,
1132,47,21,,,
1132,47,22,,,
1132,47,23,,,
1132,47,24,,,
1132,47,25,,,
1132,47,29,,,
1133,47,14,,,
1133,47,15,,,
1133,47,16,,,
1133,47,17,,,
1133,47,18,,,
1133,47,19,,,
1133,47,20,,,
1133,47,21,,,
1133,47,22,,,
1133,47,23,,,
1133,47,24,,,
1133,47,25,,,
1133,47,29,,,
1134,47,14,,,
1134,47,15,,,
1134,47,16,,,
1134,47,17,,,
1134,47,18,,,
1134,47,19,182,1755863156,2025-08-22 18:45:56
1134,47,20,,,
1134,47,21,216,1756287324,2025-08-27 16:35:24
1134,47,22,217,1756287460,2025-08-27 16:37:40
1134,47,23,,,
1134,47,24,,,
1134,47,25,,,
1134,47,29,,,
1135,47,14,183,1755870740,2025-08-22 20:52:20
1135,47,15,,,
1135,47,16,,,
1135,47,17,,,
1135,47,18,,,
1135,47,19,,,
1135,47,20,,,
1135,47,21,,,
1135,47,22,,,
1135,47,23,,,
1135,47,24,,,
1135,47,25,,,
1135,47,29,,,
1136,47,14,,,
1136,47,15,,,
1136,47,16,,,
1136,47,17,,,
1136,47,18,,,
1136,47,19,,,
1136,47,20,194,1756117324,2025-08-25 17:22:04
1136,47,20,195,1756117394,2025-08-25 17:23:14
1136,47,21,,,
1136,47,22,,,
1136,47,23,,,
1136,47,24,,,
1136,47,25,,,
1136,47,29,,,
1137,47,14,,,
1137,47,15,,,
1137,47,16,,,
1137,47,17,,,
1137,47,18,,,
1137,47,19,,,
1137,47,20,,,
1137,47,21,,,
1137,47,22,,,
1137,47,23,,,
1137,47,24,235,1756463435,2025-08-29 17:30:35
1137,47,25,,,
1137,47,29,,,
1138,47,14,,,
1138,47,15,,,
1138,47,16,,,
1138,47,17,,,
1138,47,18,,,
1138,47,19,,,
1138,47,20,,,
1138,47,21,,,
1138,47,22,,,
1138,47,23,,,
1138,47,24,,,
1138,47,25,,,
1138,47,29,,,
1141,47,14,192,1756113265,2025-08-25 16:14:25
1141,47,15,,,
1141,47,16,,,
1141,47,17,,,
1141,47,18,,,
1141,47,19,,,
1141,47,20,,,
1141,47,21,215,1756287236,2025-08-27 16:33:56
1141,47,22,214,1756286278,2025-08-27 16:17:58
1141,47,23,,,
1141,47,24,,,
1141,47,25,,,
1141,47,29,,,
1142,47,14,199,1756139018,2025-08-25 23:23:38
1142,47,15,472,1758981633,2025-09-27 21:00:33
1142,47,16,473,1758981822,2025-09-27 21:03:42
1142,47,17,474,1758982042,2025-09-27 21:07:22
1142,47,18,334,1757692932,2025-09-12 23:02:12
1142,47,19,190,1756100246,2025-08-25 12:37:26
1142,47,20,191,1756139524,2025-08-25 23:32:04
1142,47,21,262,1756826546,2025-09-02 22:22:26
1142,47,22,263,1756826872,2025-09-02 22:27:52
1142,47,22,264,1756826998,2025-09-02 22:29:58
1142,47,23,265,1757234323,2025-09-07 15:38:43
1142,47,24,278,1757235436,2025-09-07 15:57:16
1142,47,25,279,1757239314,2025-09-07 17:01:54
1142,47,29,,,
1143,47,14,,,
1143,47,15,,,
1143,47,16,,,
1143,47,17,,,
1143,47,18,,,
1143,47,19,,,
1143,47,20,,,
1143,47,21,,,
1143,47,22,,,
1143,47,23,,,
1143,47,24,,,
1143,47,25,,,
1143,47,29,,,
1144,47,14,209,1756263797,2025-08-27 10:03:17
1144,47,15,,,
1144,47,16,,,
1144,47,17,,,
1144,47,18,,,
1144,47,19,240,1756488461,2025-08-30 00:27:41
1144,47,20,241,1756489346,2025-08-30 00:42:26
1144,47,21,,,
1144,47,22,,,
1144,47,23,,,
1144,47,24,,,
1144,47,25,,,
1144,47,29,,,
1145,47,14,,,
1145,47,15,,,
1145,47,16,,,
1145,47,17,,,
1145,47,18,,,
1145,47,19,297,1757568007,2025-09-11 12:20:07
1145,47,20,,,
1145,47,21,298,1757568282,2025-09-11 12:24:42
1145,47,21,299,1757568475,2025-09-11 12:27:55
1145,47,22,,,
1145,47,23,,,
1145,47,24,,,
1145,47,25,,,
1145,47,29,,,
1146,47,14,246,1756654903,2025-08-31 22:41:43
1146,47,14,257,1756656843,2025-08-31 23:14:03
1146,47,15,258,1756658250,2025-08-31 23:37:30
1146,47,16,282,1758562519,2025-09-23 00:35:19
1146,47,17,280,1757267740,2025-09-08 00:55:40
1146,47,17,281,1757267802,2025-09-08 00:56:42
1146,47,18,333,1757673227,2025-09-12 17:33:47
1146,47,19,247,1756655231,2025-08-31 22:47:11
1146,47,20,248,1756655457,2025-08-31 22:50:57
1146,47,20,249,1756655549,2025-08-31 22:52:29
1146,47,20,250,1756655586,2025-08-31 22:53:06
1146,47,21,251,1756655880,2025-08-31 22:58:00
1146,47,22,252,1756656055,2025-08-31 23:00:55
1146,47,22,253,1756656168,2025-08-31 23:02:48
1146,47,23,254,1756656483,2025-08-31 23:08:03
1146,47,24,255,1756656688,2025-08-31 23:11:28
1146,47,24,256,1756656726,2025-08-31 23:12:06
1146,47,25,259,1756998284,2025-09-04 22:04:44
1146,47,29,,,
1147,47,14,285,1757316043,2025-09-08 14:20:43
1147,47,15,,,
1147,47,16,,,
1147,47,17,,,
1147,47,18,,,
1147,47,19,,,
1147,47,20,,,
1147,47,21,,,
1147,47,22,,,
1147,47,23,,,
1147,47,24,,,
1147,47,25,,,
1147,47,29,,,
1148,47,14,,,
1148,47,15,,,
1148,47,16,,,
1148,47,17,,,
1148,47,18,,,
1148,47,19,,,
1148,47,20,,,
1148,47,21,,,
1148,47,22,,,
1148,47,23,,,
1148,47,24,,,
1148,47,25,,,
1148,47,29,,,
1149,47,14,,,
1149,47,15,,,
1149,47,16,,,
1149,47,17,,,
1149,47,18,,,
1149,47,19,,,
1149,47,20,,,
1149,47,21,,,
1149,47,22,,,
1149,47,23,,,
1149,47,24,,,
1149,47,25,,,
1149,47,29,,,
1150,47,14,266,1756894095,2025-09-03 17:08:15
1150,47,15,,,
1150,47,16,,,
1150,47,17,,,
1150,47,18,,,
1150,47,19,268,1756982745,2025-09-04 17:45:45
1150,47,20,269,1756986231,2025-09-04 18:43:51
1150,47,21,283,1757270146,2025-09-08 01:35:46
1150,47,22,284,1757270306,2025-09-08 01:38:26
1150,47,23,459,1758796486,2025-09-25 17:34:46
1150,47,24,458,1758795881,2025-09-25 17:24:41
1150,47,25,,,
1150,47,29,,,
1151,47,14,184,1755871645,2025-08-22 21:07:25
1151,47,15,402,1758100003,2025-09-17 16:06:43
1151,47,16,450,1758205900,2025-09-18 21:31:40
1151,47,17,451,1758205968,2025-09-18 21:32:48
1151,47,18,405,1758101066,2025-09-17 16:24:26
1151,47,19,185,1755871871,2025-08-22 21:11:11
1151,47,20,234,1756462962,2025-08-29 17:22:42
1151,47,21,236,1756463816,2025-08-29 17:36:56
1151,47,22,237,1756463967,2025-08-29 17:39:27
1151,47,23,238,1756464729,2025-08-29 17:52:09
1151,47,24,239,1756465051,2025-08-29 17:57:31
1151,47,25,403,1758100957,2025-09-17 16:22:37
1151,47,29,,,
1152,47,14,,,
1152,47,15,,,
1152,47,16,,,
1152,47,17,,,
1152,47,18,,,
1152,47,19,,,
1152,47,20,,,
1152,47,21,,,
1152,47,22,,,
1152,47,23,,,
1152,47,24,,,
1152,47,25,,,
1152,47,29,,,
1153,47,14,,,
1153,47,15,,,
1153,47,16,,,
1153,47,17,,,
1153,47,18,,,
1153,47,19,,,
1153,47,20,,,
1153,47,21,,,
1153,47,22,,,
1153,47,23,,,
1153,47,24,,,
1153,47,25,,,
1153,47,29,,,
1154,47,14,,,
1154,47,15,,,
1154,47,16,,,
1154,47,17,,,
1154,47,18,,,
1154,47,19,,,
1154,47,20,,,
1154,47,21,,,
1154,47,22,,,
1154,47,23,,,
1154,47,24,,,
1154,47,25,,,
1154,47,29,,,
1155,47,14,,,
1155,47,15,,,
1155,47,16,,,
1155,47,17,,,
1155,47,18,,,
1155,47,19,,,
1155,47,20,,,
1155,47,21,,,
1155,47,22,,,
1155,47,23,,,
1155,47,24,,,
1155,47,25,,,
1155,47,29,,,
1156,47,14,223,1756438414,2025-08-29 10:33:34
1156,47,14,224,1756438463,2025-08-29 10:34:23
1156,47,15,,,
1156,47,16,,,
1156,47,17,,,
1156,47,18,290,1757334863,2025-09-08 19:34:23
1156,47,19,225,1756454429,2025-08-29 15:00:29
1156,47,19,226,1756454500,2025-08-29 15:01:40
1156,47,20,227,1756454884,2025-08-29 15:08:04
1156,47,20,228,1756454953,2025-08-29 15:09:13
1156,47,21,198,1756455603,2025-08-29 15:20:03
1156,47,21,229,1756455717,2025-08-29 15:21:57
1156,47,22,230,1756455900,2025-08-29 15:25:00
1156,47,22,231,1756455973,2025-08-29 15:26:13
1156,47,23,276,1757322796,2025-09-08 16:13:16
1156,47,23,289,1757322962,2025-09-08 16:16:02
1156,47,24,286,1757320154,2025-09-08 15:29:14
1156,47,24,287,1757320184,2025-09-08 15:29:44
1156,47,25,288,1757496855,2025-09-10 16:34:15
1156,47,25,294,1757496981,2025-09-10 16:36:21
1156,47,25,295,1757497037,2025-09-10 16:37:17
1156,47,29,,,
1157,47,14,,,
1157,47,15,,,
1157,47,16,,,
1157,47,17,,,
1157,47,18,,,
1157,47,19,,,
1157,47,20,,,
1157,47,21,,,
1157,47,22,,,
1157,47,23,,,
1157,47,24,,,
1157,47,25,,,
1157,47,29,,,
1158,47,14,202,1756221272,2025-08-26 22:14:32
1158,47,15,,,
1158,47,16,,,
1158,47,17,,,
1158,47,18,,,
1158,47,19,203,1756221649,2025-08-26 22:20:49
1158,47,20,204,1756222877,2025-08-26 22:41:17
1158,47,21,293,1757430436,2025-09-09 22:07:16
1158,47,22,,,
1158,47,23,,,
1158,47,24,,,
1158,47,25,,,
1158,47,29,,,
1159,47,14,,,
1159,47,15,,,
1159,47,16,,,
1159,47,17,,,
1159,47,18,,,
1159,47,19,,,
1159,47,20,,,
1159,47,21,,,
1159,47,22,,,
1159,47,23,,,
1159,47,24,,,
1159,47,25,,,
1159,47,29,,,
1160,47,14,,,
1160,47,15,,,
1160,47,16,,,
1160,47,17,,,
1160,47,18,,,
1160,47,19,,,
1160,47,20,,,
1160,47,21,,,
1160,47,22,,,
1160,47,23,,,
1160,47,24,,,
1160,47,25,,,
1160,47,29,,,
2,51,100,,,
2,51,102,,,
2,51,103,,,
3,51,100,,,
3,51,102,,,
3,51,103,,,
4,51,100,,,
4,51,102,,,
4,51,103,,,
64,51,100,,,
64,51,102,,,
64,51,103,,,
70,51,100,,,
70,51,102,,,
70,51,103,,,
285,51,100,,,
285,51,102,,,
285,51,103,,,
5,52,26,,,
5,52,27,,,
5,52,28,,,
62,52,26,,,
62,52,27,,,
62,52,28,,,
1017,52,26,145,1754272742,2025-08-04 08:59:02
1017,52,27,148,1754304569,2025-08-04 17:49:29
1017,52,28,153,1754363882,2025-08-05 10:18:02
1018,52,26,,,
1018,52,27,,,
1018,52,28,,,
1019,52,26,,,
1019,52,27,,,
1019,52,28,,,
1020,52,26,,,
1020,52,27,,,
1020,52,28,,,
1021,52,26,,,
1021,52,27,,,
1021,52,28,,,
1022,52,26,,,
1022,52,27,,,
1022,52,28,,,
1023,52,26,,,
1023,52,27,,,
1023,52,28,,,
1024,52,26,136,1754205878,2025-08-03 14:24:38
1024,52,26,137,1754206473,2025-08-03 14:34:33
1024,52,27,152,1754359898,2025-08-05 09:11:38
1024,52,28,171,1754632000,2025-08-08 12:46:40
1025,52,26,170,1754585103,2025-08-07 23:45:03
1025,52,27,172,1754680281,2025-08-09 02:11:21
1025,52,28,173,1754766850,2025-08-10 02:14:10
1026,52,26,,,
1026,52,27,,,
1026,52,28,,,
1027,52,26,,,
1027,52,27,,,
1027,52,28,,,
1028,52,26,127,1754118206,2025-08-02 14:03:26
1028,52,27,129,1754130354,2025-08-02 17:25:54
1028,52,28,130,1754141787,2025-08-02 20:36:27
1029,52,26,,,
1029,52,27,,,
1029,52,28,,,
1030,52,26,164,1754488750,2025-08-06 20:59:10
1030,52,26,165,1754488822,2025-08-06 21:00:22
1030,52,27,166,1754489174,2025-08-06 21:06:14
1030,52,28,167,1754489536,2025-08-06 21:12:16
1031,52,26,,,
1031,52,27,,,
1031,52,28,,,
1032,52,26,156,1754389053,2025-08-05 17:17:33
1032,52,26,157,1754389146,2025-08-05 17:19:06
1032,52,27,179,1754883463,2025-08-11 10:37:43
1032,52,28,180,1754930453,2025-08-11 23:40:53
1033,52,26,,,
1033,52,27,,,
