userid,courseid,week_number,total_clicks,late_night_clicks,late_night_activity_ratio
75,1,29,3,0,0.0000
75,1,30,9,0,0.0000
75,1,31,2,0,0.0000
75,1,32,7,0,0.0000
75,1,33,12,0,0.0000
75,1,34,5,0,0.0000
75,1,35,5,0,0.0000
75,1,36,5,0,0.0000
75,1,37,7,0,0.0000
75,1,38,4,0,0.0000
75,1,39,1,0,0.0000
75,1,41,2,0,0.0000
75,1,42,2,0,0.0000
75,1,43,6,3,0.5000
75,1,45,3,0,0.0000
75,1,46,8,0,0.0000
75,1,47,1,0,0.0000
75,1,48,16,0,0.0000
75,1,49,17,0,0.0000
75,1,50,5,0,0.0000
75,1,51,4,0,0.0000
75,1,52,1,0,0.0000
75,1,53,2,0,0.0000
75,1,54,2,0,0.0000
75,1,56,7,0,0.0000
75,1,57,5,0,0.0000
75,1,58,6,1,0.1667
76,1,5,2,0,0.0000
76,1,43,1,0,0.0000
76,1,49,1,1,1.0000
76,1,51,1,1,1.0000
77,1,11,1,0,0.0000
77,1,28,2,0,0.0000
77,1,33,1,0,0.0000
77,1,37,1,0,0.0000
77,1,55,1,0,0.0000
78,1,3,21,7,0.3333
78,1,4,10,6,0.6000
78,1,5,22,21,0.9545
78,1,6,12,0,0.0000
78,1,7,9,7,0.7778
78,1,8,1,0,0.0000
78,1,9,3,1,0.3333
78,1,10,9,2,0.2222
78,1,11,2,0,0.0000
78,1,12,10,2,0.2000
78,1,13,5,1,0.2000
78,1,14,8,6,0.7500
78,1,15,4,0,0.0000
78,1,16,2,0,0.0000
78,1,17,13,0,0.0000
78,1,18,1,0,0.0000
78,1,19,1,0,0.0000
78,1,20,6,3,0.5000
78,1,24,4,0,0.0000
78,1,25,3,0,0.0000
78,1,26,7,0,0.0000
78,1,27,5,0,0.0000
78,1,28,8,1,0.1250
78,1,29,15,0,0.0000
78,1,31,7,5,0.7143
78,1,32,6,4,0.6667
78,1,33,1,0,0.0000
78,1,34,1,0,0.0000
78,1,38,1,0,0.0000
78,1,40,6,0,0.0000
78,1,42,1,0,0.0000
78,1,43,1,1,1.0000
78,1,45,2,0,0.0000
78,1,46,15,0,0.0000
78,1,47,10,0,0.0000
78,1,48,15,1,0.0667
78,1,49,5,0,0.0000
78,1,50,5,1,0.2000
78,1,51,3,0,0.0000
78,1,55,1,0,0.0000
78,1,56,3,0,0.0000
78,1,57,4,0,0.0000
78,1,58,10,1,0.1000
79,1,3,2,0,0.0000
79,1,4,1,0,0.0000
79,1,6,1,0,0.0000
79,1,9,1,0,0.0000
79,1,10,2,0,0.0000
79,1,18,2,0,0.0000
79,1,27,2,0,0.0000
79,1,28,1,0,0.0000
79,1,30,2,0,0.0000
79,1,57,1,0,0.0000
79,1,58,5,0,0.0000
80,1,3,3,0,0.0000
81,1,3,6,0,0.0000
81,1,4,13,0,0.0000
81,1,5,9,0,0.0000
81,1,6,1,1,1.0000
81,1,7,9,0,0.0000
81,1,8,1,0,0.0000
81,1,9,2,0,0.0000
81,1,10,7,0,0.0000
81,1,11,2,0,0.0000
81,1,12,7,0,0.0000
81,1,13,4,0,0.0000
81,1,14,2,0,0.0000
81,1,15,2,0,0.0000
81,1,16,4,0,0.0000
81,1,17,3,0,0.0000
81,1,18,1,0,0.0000
81,1,19,4,0,0.0000
81,1,20,8,1,0.1250
81,1,25,2,0,0.0000
81,1,26,3,0,0.0000
81,1,27,4,0,0.0000
81,1,28,9,0,0.0000
81,1,29,3,0,0.0000
81,1,30,1,1,1.0000
81,1,32,4,0,0.0000
81,1,34,2,0,0.0000
81,1,38,3,1,0.3333
81,1,40,1,0,0.0000
81,1,42,1,0,0.0000
81,1,43,4,1,0.2500
81,1,44,1,0,0.0000
81,1,46,5,0,0.0000
81,1,47,4,0,0.0000
81,1,48,16,0,0.0000
81,1,49,9,0,0.0000
81,1,50,20,2,0.1000
81,1,51,10,2,0.2000
81,1,52,9,0,0.0000
81,1,54,5,1,0.2000
81,1,55,1,1,1.0000
81,1,56,6,0,0.0000
81,1,57,15,2,0.1333
81,1,58,10,0,0.0000
82,1,58,1,0,0.0000
83,1,3,2,0,0.0000
84,1,4,2,0,0.0000
84,1,5,1,0,0.0000
84,1,39,2,0,0.0000
84,1,43,1,1,1.0000
84,1,58,1,0,0.0000
85,1,3,1,0,0.0000
85,1,9,1,0,0.0000
85,1,20,1,0,0.0000
85,1,30,1,0,0.0000
85,1,35,1,0,0.0000
85,1,47,1,0,0.0000
85,1,48,2,0,0.0000
85,1,57,1,0,0.0000
85,1,58,9,0,0.0000
86,1,5,2,0,0.0000
86,1,7,3,0,0.0000
86,1,29,1,0,0.0000
87,1,9,1,0,0.0000
87,1,24,1,0,0.0000
87,1,32,1,0,0.0000
87,1,43,1,1,1.0000
87,1,45,4,0,0.0000
87,1,46,1,0,0.0000
87,1,58,2,0,0.0000
89,1,3,1,0,0.0000
89,1,6,1,0,0.0000
89,1,10,1,0,0.0000
89,1,14,1,0,0.0000
89,1,48,1,0,0.0000
89,1,50,3,0,0.0000
89,1,56,1,0,0.0000
89,1,57,1,0,0.0000
89,1,58,5,0,0.0000
90,1,12,3,0,0.0000
90,1,44,1,1,1.0000
91,1,9,1,0,0.0000
91,1,18,1,0,0.0000
91,1,57,1,0,0.0000
92,1,5,1,0,0.0000
92,1,9,2,0,0.0000
92,1,11,1,0,0.0000
92,1,12,4,0,0.0000
92,1,13,1,0,0.0000
92,1,14,3,0,0.0000
92,1,15,2,0,0.0000
92,1,17,1,0,0.0000
92,1,18,4,0,0.0000
92,1,19,1,0,0.0000
92,1,20,4,0,0.0000
92,1,23,3,0,0.0000
92,1,29,1,0,0.0000
92,1,31,2,0,0.0000
92,1,36,3,0,0.0000
92,1,38,1,0,0.0000
92,1,42,1,0,0.0000
92,1,43,2,2,1.0000
92,1,46,2,0,0.0000
92,1,48,6,0,0.0000
92,1,49,7,0,0.0000
92,1,50,5,0,0.0000
92,1,54,1,0,0.0000
92,1,56,1,0,0.0000
93,1,9,4,0,0.0000
93,1,13,1,0,0.0000
93,1,15,1,0,0.0000
93,1,24,1,0,0.0000
93,1,31,1,0,0.0000
93,1,37,1,0,0.0000
93,1,43,2,0,0.0000
93,1,44,1,0,0.0000
93,1,48,2,0,0.0000
93,1,50,2,0,0.0000
93,1,51,2,0,0.0000
93,1,58,1,0,0.0000
94,1,50,1,0,0.0000
94,1,51,1,0,0.0000
94,1,57,1,0,0.0000
95,1,5,1,0,0.0000
95,1,6,5,0,0.0000
95,1,7,5,0,0.0000
95,1,8,2,0,0.0000
95,1,19,2,2,1.0000
95,1,27,2,0,0.0000
95,1,48,5,0,0.0000
95,1,49,6,0,0.0000
95,1,50,5,0,0.0000
95,1,51,3,0,0.0000
95,1,52,1,0,0.0000
95,1,54,1,0,0.0000
95,1,56,1,0,0.0000
95,1,57,2,0,0.0000
95,1,58,5,0,0.0000
96,1,4,1,0,0.0000
96,1,5,7,0,0.0000
96,1,6,3,0,0.0000
96,1,7,7,0,0.0000
96,1,8,8,0,0.0000
96,1,9,5,0,0.0000
96,1,10,7,0,0.0000
96,1,11,2,0,0.0000
96,1,12,2,0,0.0000
96,1,13,1,0,0.0000
96,1,14,6,0,0.0000
96,1,15,2,0,0.0000
96,1,16,1,0,0.0000
96,1,17,3,0,0.0000
96,1,18,5,0,0.0000
96,1,19,3,0,0.0000
96,1,20,5,0,0.0000
96,1,25,1,0,0.0000
96,1,26,2,0,0.0000
96,1,27,3,0,0.0000
96,1,28,3,0,0.0000
96,1,29,2,0,0.0000
96,1,30,5,1,0.2000
96,1,31,1,0,0.0000
96,1,33,1,0,0.0000
96,1,34,1,0,0.0000
96,1,35,3,0,0.0000
96,1,36,1,0,0.0000
96,1,38,2,0,0.0000
96,1,40,3,0,0.0000
96,1,42,1,0,0.0000
96,1,43,2,0,0.0000
96,1,44,1,1,1.0000
96,1,46,2,0,0.0000
96,1,48,5,1,0.2000
96,1,49,5,0,0.0000
96,1,50,4,0,0.0000
96,1,51,5,0,0.0000
96,1,52,1,0,0.0000
96,1,54,2,0,0.0000
96,1,55,1,0,0.0000
96,1,56,3,0,0.0000
96,1,57,11,1,0.0909
96,1,58,7,0,0.0000
97,1,3,3,0,0.0000
97,1,9,1,0,0.0000
97,1,10,1,1,1.0000
97,1,17,1,0,0.0000
97,1,28,3,0,0.0000
97,1,40,1,0,0.0000
97,1,49,1,0,0.0000
97,1,56,2,0,0.0000
98,1,3,1,0,0.0000
98,1,4,3,0,0.0000
98,1,7,1,0,0.0000
98,1,10,1,0,0.0000
98,1,18,1,0,0.0000
98,1,24,1,0,0.0000
98,1,25,1,0,0.0000
98,1,34,1,0,0.0000
98,1,45,1,0,0.0000
98,1,51,1,0,0.0000
98,1,56,1,0,0.0000
98,1,58,1,0,0.0000
99,1,3,6,0,0.0000
99,1,4,4,0,0.0000
99,1,5,10,0,0.0000
99,1,6,3,0,0.0000
99,1,7,6,2,0.3333
99,1,8,3,0,0.0000
99,1,9,3,0,0.0000
99,1,10,4,0,0.0000
99,1,11,1,0,0.0000
99,1,12,1,0,0.0000
99,1,13,3,0,0.0000
99,1,14,9,0,0.0000
99,1,15,3,0,0.0000
99,1,17,2,0,0.0000
99,1,18,1,0,0.0000
99,1,24,4,0,0.0000
99,1,26,3,0,0.0000
99,1,28,3,0,0.0000
99,1,29,1,0,0.0000
99,1,31,1,0,0.0000
99,1,32,1,0,0.0000
99,1,33,5,1,0.2000
99,1,34,1,0,0.0000
99,1,36,1,0,0.0000
99,1,37,1,0,0.0000
99,1,38,3,0,0.0000
99,1,40,2,0,0.0000
99,1,43,5,4,0.8000
99,1,44,2,0,0.0000
99,1,45,1,0,0.0000
99,1,46,1,0,0.0000
99,1,47,2,0,0.0000
99,1,48,13,1,0.0769
99,1,49,10,0,0.0000
99,1,50,13,3,0.2308
99,1,51,11,0,0.0000
99,1,54,6,0,0.0000
99,1,55,9,0,0.0000
99,1,56,4,0,0.0000
99,1,57,23,1,0.0435
99,1,58,18,3,0.1667
100,1,3,4,4,1.0000
100,1,13,1,1,1.0000
100,1,24,1,0,0.0000
100,1,29,1,0,0.0000
100,1,30,2,0,0.0000
100,1,48,3,0,0.0000
100,1,49,1,0,0.0000
100,1,50,1,0,0.0000
100,1,57,1,1,1.0000
101,1,9,1,0,0.0000
101,1,24,4,0,0.0000
101,1,27,1,0,0.0000
101,1,29,1,0,0.0000
101,1,30,4,1,0.2500
101,1,33,1,0,0.0000
101,1,46,2,0,0.0000
101,1,49,2,0,0.0000
102,1,3,1,0,0.0000
102,1,4,1,0,0.0000
102,1,7,2,2,1.0000
102,1,24,1,0,0.0000
102,1,28,1,0,0.0000
102,1,34,2,0,0.0000
103,1,7,1,0,0.0000
104,1,13,1,0,0.0000
104,1,19,1,0,0.0000
104,1,24,2,0,0.0000
104,1,28,2,0,0.0000
104,1,30,2,0,0.0000
104,1,32,1,0,0.0000
104,1,33,1,0,0.0000
104,1,35,1,0,0.0000
104,1,49,1,0,0.0000
105,1,19,1,0,0.0000
105,1,38,1,0,0.0000
105,1,43,1,1,1.0000
105,1,50,1,0,0.0000
106,1,5,1,0,0.0000
106,1,7,1,0,0.0000
106,1,12,2,2,1.0000
106,1,14,1,0,0.0000
106,1,15,2,0,0.0000
106,1,16,1,0,0.0000
106,1,19,3,0,0.0000
106,1,20,6,1,0.1667
106,1,28,4,1,0.2500
106,1,29,4,1,0.2500
106,1,30,2,1,0.5000
106,1,31,1,0,0.0000
106,1,34,1,0,0.0000
106,1,38,1,0,0.0000
106,1,41,1,0,0.0000
106,1,46,1,0,0.0000
106,1,58,3,0,0.0000
107,1,3,1,0,0.0000
107,1,4,1,0,0.0000
107,1,7,4,1,0.2500
107,1,8,1,0,0.0000
107,1,9,7,0,0.0000
107,1,10,2,0,0.0000
107,1,12,3,0,0.0000
107,1,13,4,1,0.2500
107,1,14,7,0,0.0000
107,1,15,5,0,0.0000
107,1,16,2,0,0.0000
107,1,17,9,1,0.1111
107,1,18,1,0,0.0000
107,1,19,15,0,0.0000
107,1,20,3,0,0.0000
107,1,25,1,0,0.0000
107,1,37,1,0,0.0000
107,1,42,1,0,0.0000
107,1,44,3,0,0.0000
107,1,48,2,0,0.0000
107,1,50,3,0,0.0000
107,1,51,4,0,0.0000
107,1,56,1,0,0.0000
107,1,57,8,0,0.0000
107,1,58,11,0,0.0000
108,1,4,4,0,0.0000
108,1,5,4,0,0.0000
108,1,6,1,0,0.0000
108,1,7,4,1,0.2500
108,1,8,1,0,0.0000
108,1,9,10,1,0.1000
108,1,10,2,0,0.0000
108,1,13,3,0,0.0000
108,1,14,8,2,0.2500
108,1,17,7,1,0.1429
108,1,18,1,0,0.0000
108,1,20,2,0,0.0000
108,1,25,2,0,0.0000
108,1,26,1,0,0.0000
108,1,28,4,0,0.0000
108,1,29,3,1,0.3333
108,1,30,2,0,0.0000
108,1,31,1,0,0.0000
108,1,32,3,2,0.6667
108,1,34,1,0,0.0000
108,1,35,3,0,0.0000
108,1,37,2,0,0.0000
108,1,38,1,0,0.0000
108,1,43,1,1,1.0000
108,1,44,1,0,0.0000
108,1,46,5,1,0.2000
108,1,47,2,0,0.0000
108,1,48,6,1,0.1667
108,1,49,6,0,0.0000
108,1,50,5,0,0.0000
108,1,51,7,0,0.0000
108,1,52,1,0,0.0000
108,1,53,4,0,0.0000
108,1,54,1,0,0.0000
108,1,55,5,0,0.0000
108,1,56,3,0,0.0000
108,1,57,7,0,0.0000
108,1,58,9,0,0.0000
109,1,7,1,0,0.0000
109,1,17,1,0,0.0000
109,1,25,1,0,0.0000
109,1,48,3,0,0.0000
109,1,50,2,0,0.0000
109,1,58,1,0,0.0000
110,1,24,1,0,0.0000
110,1,45,2,0,0.0000
110,1,58,3,0,0.0000
111,1,34,1,0,0.0000
111,1,38,1,0,0.0000
112,1,14,4,0,0.0000
112,1,15,1,0,0.0000
112,1,16,2,0,0.0000
112,1,17,3,0,0.0000
112,1,19,2,0,0.0000
112,1,20,2,1,0.5000
112,1,25,3,0,0.0000
112,1,39,1,0,0.0000
112,1,42,1,0,0.0000
112,1,43,2,2,1.0000
112,1,44,1,1,1.0000
112,1,47,3,0,0.0000
112,1,51,2,0,0.0000
112,1,56,1,0,0.0000
112,1,58,5,0,0.0000
113,1,10,2,0,0.0000
113,1,13,4,0,0.0000
113,1,14,2,0,0.0000
113,1,17,1,0,0.0000
113,1,19,1,0,0.0000
113,1,25,2,0,0.0000
113,1,31,1,0,0.0000
113,1,35,2,0,0.0000
113,1,40,2,0,0.0000
113,1,47,2,0,0.0000
113,1,50,1,0,0.0000
113,1,51,2,0,0.0000
113,1,57,1,0,0.0000
113,1,58,1,0,0.0000
114,1,7,1,0,0.0000
114,1,8,1,0,0.0000
114,1,14,3,0,0.0000
114,1,30,1,0,0.0000
114,1,39,1,0,0.0000
114,1,48,2,0,0.0000
114,1,51,1,0,0.0000
114,1,56,1,0,0.0000
114,1,57,1,0,0.0000
115,1,4,1,0,0.0000
115,1,12,1,0,0.0000
115,1,14,1,0,0.0000
115,1,16,1,0,0.0000
115,1,18,1,0,0.0000
115,1,37,1,0,0.0000
115,1,38,1,0,0.0000
115,1,39,1,0,0.0000
115,1,47,1,0,0.0000
115,1,50,1,0,0.0000
115,1,57,1,0,0.0000
115,1,58,2,0,0.0000
116,1,13,1,0,0.0000
117,1,3,4,0,0.0000
117,1,4,1,0,0.0000
117,1,24,1,0,0.0000
117,1,52,1,0,0.0000
118,1,3,1,0,0.0000
118,1,4,1,0,0.0000
118,1,5,1,0,0.0000
118,1,6,1,0,0.0000
118,1,13,1,0,0.0000
118,1,14,1,0,0.0000
118,1,37,2,0,0.0000
118,1,39,3,0,0.0000
118,1,40,1,0,0.0000
118,1,50,1,0,0.0000
118,1,51,1,0,0.0000
118,1,57,1,0,0.0000
118,1,58,1,0,0.0000
119,1,3,2,0,0.0000
119,1,5,3,0,0.0000
119,1,6,9,0,0.0000
119,1,7,3,0,0.0000
119,1,8,2,0,0.0000
119,1,9,1,0,0.0000
119,1,11,1,1,1.0000
119,1,15,1,0,0.0000
119,1,16,1,0,0.0000
119,1,21,4,0,0.0000
119,1,24,2,0,0.0000
119,1,34,1,0,0.0000
119,1,45,1,0,0.0000
119,1,52,1,0,0.0000
119,1,57,2,0,0.0000
120,1,3,2,0,0.0000
120,1,9,2,0,0.0000
120,1,10,2,0,0.0000
120,1,11,3,0,0.0000
120,1,13,1,0,0.0000
120,1,16,1,0,0.0000
120,1,27,2,0,0.0000
120,1,37,2,0,0.0000
120,1,39,1,0,0.0000
120,1,43,3,0,0.0000
120,1,47,1,0,0.0000
120,1,55,2,0,0.0000
121,1,4,6,1,0.1667
121,1,5,2,0,0.0000
121,1,6,1,0,0.0000
121,1,8,1,0,0.0000
121,1,18,2,0,0.0000
121,1,19,5,1,0.2000
121,1,20,11,1,0.0909
121,1,21,9,0,0.0000
121,1,22,6,0,0.0000
121,1,23,4,1,0.2500
121,1,24,2,0,0.0000
121,1,25,7,0,0.0000
121,1,27,1,0,0.0000
121,1,47,1,0,0.0000
121,1,53,1,0,0.0000
121,1,55,1,0,0.0000
121,1,57,5,0,0.0000
121,1,58,2,0,0.0000
122,1,4,1,0,0.0000
122,1,5,11,0,0.0000
122,1,6,10,0,0.0000
122,1,7,3,0,0.0000
122,1,9,3,0,0.0000
122,1,13,2,0,0.0000
122,1,19,1,0,0.0000
122,1,20,2,0,0.0000
122,1,21,1,0,0.0000
122,1,25,2,0,0.0000
122,1,30,2,0,0.0000
122,1,41,1,0,0.0000
122,1,45,1,0,0.0000
122,1,49,2,0,0.0000
122,1,52,1,0,0.0000
122,1,56,2,0,0.0000
122,1,57,4,0,0.0000
122,1,58,1,0,0.0000
123,1,3,1,0,0.0000
123,1,6,2,0,0.0000
123,1,7,1,0,0.0000
123,1,9,3,0,0.0000
123,1,12,1,0,0.0000
123,1,16,2,0,0.0000
123,1,17,1,0,0.0000
123,1,28,1,0,0.0000
123,1,37,1,0,0.0000
123,1,45,3,0,0.0000
123,1,47,1,0,0.0000
123,1,48,6,0,0.0000
123,1,49,3,0,0.0000
123,1,55,1,0,0.0000
123,1,56,3,0,0.0000
123,1,57,4,0,0.0000
123,1,58,9,0,0.0000
124,1,3,1,0,0.0000
124,1,9,1,0,0.0000
124,1,10,1,0,0.0000
124,1,12,1,0,0.0000
124,1,13,1,1,1.0000
124,1,17,3,0,0.0000
124,1,19,1,0,0.0000
124,1,26,1,0,0.0000
125,1,3,8,0,0.0000
125,1,4,4,0,0.0000
125,1,5,7,0,0.0000
125,1,6,8,0,0.0000
125,1,7,9,0,0.0000
125,1,8,5,0,0.0000
125,1,9,4,0,0.0000
125,1,10,2,0,0.0000
125,1,14,1,0,0.0000
125,1,17,1,0,0.0000
125,1,26,1,0,0.0000
125,1,28,1,0,0.0000
125,1,30,1,0,0.0000
125,1,39,1,0,0.0000
125,1,47,1,0,0.0000
125,1,48,6,0,0.0000
125,1,51,1,0,0.0000
125,1,52,1,0,0.0000
125,1,56,1,0,0.0000
125,1,57,1,0,0.0000
125,1,58,2,0,0.0000
126,1,3,1,0,0.0000
126,1,13,1,0,0.0000
126,1,16,3,0,0.0000
126,1,21,1,0,0.0000
126,1,25,1,0,0.0000
126,1,26,1,0,0.0000
126,1,30,1,0,0.0000
126,1,34,1,0,0.0000
126,1,37,4,0,0.0000
126,1,38,3,0,0.0000
126,1,39,1,0,0.0000
126,1,40,1,0,0.0000
126,1,42,2,0,0.0000
126,1,48,2,0,0.0000
126,1,49,5,0,0.0000
126,1,50,1,0,0.0000
126,1,52,2,0,0.0000
126,1,53,1,0,0.0000
126,1,57,1,0,0.0000
127,1,3,1,0,0.0000
127,1,4,9,0,0.0000
127,1,5,16,0,0.0000
127,1,6,5,0,0.0000
127,1,7,10,3,0.3000
127,1,8,4,0,0.0000
127,1,9,11,0,0.0000
127,1,10,10,1,0.1000
127,1,11,5,0,0.0000
127,1,12,5,2,0.4000
127,1,13,7,0,0.0000
127,1,14,8,0,0.0000
127,1,15,5,0,0.0000
127,1,16,3,0,0.0000
127,1,17,13,0,0.0000
127,1,18,2,0,0.0000
127,1,19,3,1,0.3333
127,1,20,4,2,0.5000
127,1,25,2,0,0.0000
127,1,26,4,0,0.0000
127,1,27,3,0,0.0000
127,1,28,3,0,0.0000
127,1,30,6,0,0.0000
127,1,31,1,0,0.0000
127,1,35,1,1,1.0000
127,1,37,2,0,0.0000
127,1,38,1,0,0.0000
127,1,39,7,0,0.0000
127,1,40,4,0,0.0000
127,1,41,2,0,0.0000
127,1,45,2,0,0.0000
127,1,46,5,0,0.0000
127,1,47,5,0,0.0000
127,1,48,19,1,0.0526
127,1,49,11,2,0.1818
127,1,50,14,1,0.0714
127,1,51,7,0,0.0000
127,1,52,4,0,0.0000
127,1,53,5,0,0.0000
127,1,55,4,0,0.0000
127,1,56,22,1,0.0455
127,1,57,19,0,0.0000
127,1,58,6,0,0.0000
128,1,13,2,0,0.0000
128,1,31,1,0,0.0000
129,1,3,1,0,0.0000
129,1,4,2,0,0.0000
129,1,5,1,0,0.0000
130,1,3,2,0,0.0000
130,1,14,1,0,0.0000
130,1,15,1,0,0.0000
130,1,20,1,0,0.0000
130,1,51,1,0,0.0000
130,1,56,1,0,0.0000
130,1,58,3,0,0.0000
131,1,15,1,0,0.0000
131,1,19,1,0,0.0000
131,1,30,1,0,0.0000
131,1,37,2,0,0.0000
131,1,40,1,0,0.0000
131,1,41,1,0,0.0000
131,1,49,3,0,0.0000
131,1,55,1,0,0.0000
132,1,56,1,0,0.0000
132,1,57,1,0,0.0000
133,1,10,2,0,0.0000
133,1,15,1,0,0.0000
133,1,49,1,0,0.0000
133,1,52,1,0,0.0000
133,1,55,1,0,0.0000
133,1,56,2,0,0.0000
133,1,57,5,0,0.0000
135,1,3,2,0,0.0000
135,1,4,15,0,0.0000
135,1,5,6,0,0.0000
135,1,6,6,0,0.0000
135,1,7,8,2,0.2500
135,1,8,7,0,0.0000
135,1,9,11,0,0.0000
135,1,10,6,1,0.1667
135,1,11,14,6,0.4286
135,1,12,1,0,0.0000
135,1,13,13,3,0.2308
135,1,14,10,1,0.1000
135,1,15,4,0,0.0000
135,1,16,6,2,0.3333
135,1,17,5,0,0.0000
135,1,18,4,0,0.0000
135,1,19,7,1,0.1429
135,1,20,10,0,0.0000
135,1,21,3,2,0.6667
135,1,22,1,0,0.0000
135,1,23,3,0,0.0000
135,1,24,2,0,0.0000
135,1,25,7,0,0.0000
135,1,26,8,0,0.0000
135,1,27,1,0,0.0000
135,1,28,5,0,0.0000
135,1,29,6,0,0.0000
135,1,30,2,0,0.0000
135,1,31,2,0,0.0000
135,1,32,1,0,0.0000
135,1,33,2,0,0.0000
135,1,34,2,1,0.5000
135,1,35,1,0,0.0000
135,1,37,4,1,0.2500
135,1,38,2,0,0.0000
135,1,39,2,0,0.0000
135,1,40,2,0,0.0000
135,1,42,3,1,0.3333
135,1,43,5,2,0.4000
135,1,44,4,2,0.5000
135,1,45,6,0,0.0000
