ID,Gender,Major,Class,BO1,BO2,BO3,BO4,ST1,ST2,ST3,ST4,SQ1,SQ2,SQ4,AO1,AO2,AO3,FS1,FS2,FS3,FS4,Total Avg Score,BO Score,ST Score,AO Score
11247347,2,AI,AI66B,4,4,4,3,4,3,3,4,4,3,4,4,4,4,4,0,3,4,3.5,3.75,3.5,4
11258665,1,AI,AI67C,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.166666667,0,0.5,0.333333333
11252322,1,AI,AI67C,1,1,2,2,1,2,0,2,0,1,0,1,1,1,2,2,2,1,1.222222222,1.5,1.25,1
11247316,2,AI,AI66B,4,3,4,4,3,3,3,4,2,4,4,4,4,4,0,0,0,0,2.777777778,3.75,3.25,4
11247338,0,AI,AI66B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11247374,0,AI,AI66B,4,4,4,4,4,2,0,4,4,4,0,4,4,4,4,4,4,4,3.444444444,4,2.5,4
11247300,1,AI,AI66B,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,2.888888889,4,4,4
11247353,2,AI,AI66B,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,2,3.555555556,4,3.5,4
11247351,1,AI,AI66B,2,1,4,1,4,2,3,3,1,4,1,4,4,4,4,4,4,4,3,2,3,4
11256438,1,AI,AI67C,2,2,2,3,1,3,1,3,1,2,0,1,1,1,2,1,2,1,1.611111111,2.25,2,1
11247275,2,AI,AI66B,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,3.777777778,4,4,4
11255540,1,AI,AI67C,0,1,1,0,3,3,0,2,0,1,3,0,2,0,0,4,0,0,1.111111111,0.5,2,0.666666667
11247290,1,AI,AI66A,4,2,4,4,4,4,4,4,0,4,2,2,2,4,4,2,2,2,3,3.5,4,2.666666667
11247368,2,AI,AI66A,3,2,4,2,2,2,3,2,0,4,0,4,4,3,1,1,0,0,2.055555556,2.75,2.25,3.666666667
11247352,1,AI,AI66A,2,4,2,2,1,0,0,3,0,3,0,1,1,0,0,0,0,0,1.055555556,2.5,1,0.666666667
11247268,1,AI,AI66A,4,1,3,3,3,0,0,4,0,3,0,1,4,2,4,0,3,0,1.944444444,2.75,1.75,2.333333333
11255185,2,AI,AI67C,3,3,3,3,1,3,2,3,0,1,0,3,3,3,0,2,0,0,1.833333333,3,2.25,3
11247320,1,AI,AI66A,3,0,4,0,4,4,2,3,0,4,0,3,4,4,3,0,0,0,2.111111111,1.75,3.25,3.666666667
11247269,1,AI,AI66A,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,1,4,4,3.666666667,4,4,4
11254023,1,AI,AI67C,2,3,3,3,1,0,2,2,0,0,0,2,1,2,2,0,1,0,1.333333333,2.75,1.25,1.666666667
11247256,1,AI,AI66A,2,2,2,2,2,0,0,2,0,3,0,2,3,2,0,0,0,0,1.222222222,2,1,2.333333333
11256381,1,AI,AI67B,4,3,4,3,2,1,2,4,0,3,0,4,1,2,0,0,0,1,1.888888889,3.5,2.25,2.333333333
11247291,1,AI,AI66B,1,1,2,1,1,0,0,1,1,0,0,3,1,3,2,1,1,0,1.055555556,1.25,0.5,2.333333333
11253986,1,AI,AI67C,2,0,2,3,2,1,1,3,0,0,0,1,1,2,2,1,1,1,1.277777778,1.75,1.75,1.333333333
11247298,1,AI,AI66B,3,1,3,2,4,2,3,3,1,3,0,4,4,3,1,0,1,1,2.166666667,2.25,3,3.666666667
11247355,2,AI,AI66A,2,4,3,3,2,3,2,3,3,3,2,4,4,4,2,0,1,2,2.611111111,3,2.5,4
11256353,2,DS,DS67A,3,3,1,1,3,3,4,4,0,3,0,2,2,3,0,0,2,0,1.888888889,2,3.5,2.333333333
11253829,1,AI,AI67B,0,2,1,1,0,0,0,0,4,4,0,3,4,2,0,0,0,0,1.166666667,1,0,3
11255525,1,AI,AI67B,2,2,2,2,3,1,1,1,3,4,0,1,3,2,2,2,2,2,1.944444444,2,1.5,2
11247148,1,DS,DS66B,4,2,4,2,3,4,2,4,2,4,2,3,4,4,0,0,0,4,2.666666667,3,3.25,3.666666667
11247136,2,DS,DS66B,4,2,3,2,3,4,4,4,0,2,0,3,2,3,2,0,0,0,2.111111111,2.75,3.75,2.666666667
11247213,1,DS,DS66B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,3.111111111,4,4,4
11247211,1,DS,DS66B,4,4,4,4,3,0,4,4,0,2,4,3,3,3,4,4,4,4,3.222222222,4,2.75,3
11247131,1,DS,DS66B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11247158,2,DS,DS66B,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4,3.5,4,1.75,4
11247231,1,DS,DS66B,4,4,4,4,4,3,3,4,3,3,4,4,4,4,0,0,0,0,2.888888889,4,3.5,4
